location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag
04233_04200,04233,VAUMEILH,93,04200,insee_communes_bocp_2025,true
04234_05130,04234,VENTEROL,93,05130,insee_communes_bocp_2025,true
04235_04140,04235,VERDACHES,93,04140,insee_communes_bocp_2025,true
04236_04170,04236,VERGONS,93,04170,insee_communes_bocp_2025,true
04237_04140,04237,LE VERNET,93,04140,insee_communes_bocp_2025,true
04240_04370,04240,VILLARS COLMARS,93,04370,insee_communes_bocp_2025,true
04241_04110,04241,VILLEMUS,93,04110,insee_communes_bocp_2025,true
04242_04180,04242,VILLENEUVE,93,04180,insee_communes_bocp_2025,true
04244_04290,04244,VOLONNE,93,04290,insee_communes_bocp_2025,true
04245_04130,04245,VOLX,93,04130,insee_communes_bocp_2025,true
05001_05460,05001,ABRIES RISTOLAS,93,05460,insee_communes_bocp_2025,true
05001_05460,05001,ABRIES RISTOLAS,93,05460,insee_communes_bocp_2025,true
05003_05470,05003,AIGUILLES,93,05470,insee_communes_bocp_2025,true
05004_05260,05004,ANCELLE,93,05260,insee_communes_bocp_2025,true
05006_05120,05006,L ARGENTIERE LA BESSEE,93,05120,insee_communes_bocp_2025,true
05007_05350,05007,ARVIEUX,93,05350,insee_communes_bocp_2025,true
05008_05140,05008,ASPREMONT,93,05140,insee_communes_bocp_2025,true
05009_05800,05009,ASPRES LES CORPS,93,05800,insee_communes_bocp_2025,true
05010_05140,05010,ASPRES SUR BUECH,93,05140,insee_communes_bocp_2025,true
05011_05230,05011,AVANCON,93,05230,insee_communes_bocp_2025,true
05012_05200,05012,BARATIER,93,05200,insee_communes_bocp_2025,true
05013_05110,05013,BARCILLONNETTE,93,05110,insee_communes_bocp_2025,true
05014_05300,05014,BARRET SUR MEOUGE,93,05300,insee_communes_bocp_2025,true
05016_05700,05016,LA BATIE MONTSALEON,93,05700,insee_communes_bocp_2025,true
05017_05230,05017,LA BATIE NEUVE,93,05230,insee_communes_bocp_2025,true
05018_05000,05018,LA BATIE VIEILLE,93,05000,insee_communes_bocp_2025,true
05019_05140,05019,LA BEAUME,93,05140,insee_communes_bocp_2025,true
05021_05700,05021,LE BERSAC,93,05700,insee_communes_bocp_2025,true
05022_05190,05022,BREZIERS,93,05190,insee_communes_bocp_2025,true
05023_05100,05023,BRIANCON,93,05100,insee_communes_bocp_2025,true
05024_05150,05024,VALDOULE,93,05150,insee_communes_bocp_2025,true
05024_05150,05024,VALDOULE,93,05150,insee_communes_bocp_2025,true
05024_05150,05024,VALDOULE,93,05150,insee_communes_bocp_2025,true
05025_05500,05025,BUISSARD,93,05500,insee_communes_bocp_2025,true
05026_05600,05026,CEILLAC,93,05600,insee_communes_bocp_2025,true
05027_05100,05027,CERVIERES,93,05100,insee_communes_bocp_2025,true
05028_05400,05028,CHABESTAN,93,05400,insee_communes_bocp_2025,true
05029_05260,05029,CHABOTTES,93,05260,insee_communes_bocp_2025,true
05031_05310,05031,CHAMPCELLA,93,05310,insee_communes_bocp_2025,true
05032_05260,05032,CHAMPOLEON,93,05260,insee_communes_bocp_2025,true
05033_05700,05033,CHANOUSSE,93,05700,insee_communes_bocp_2025,true
05035_05400,05035,CHATEAUNEUF D OZE,93,05400,insee_communes_bocp_2025,true
05036_05380,05036,CHATEAUROUX LES ALPES,93,05380,insee_communes_bocp_2025,true
05037_05000,05037,CHATEAUVIEUX,93,05000,insee_communes_bocp_2025,true
05038_05350,05038,CHATEAU VILLE VIEILLE,93,05350,insee_communes_bocp_2025,true
05038_05350,05038,CHATEAU VILLE VIEILLE,93,05350,insee_communes_bocp_2025,true
05039_05500,05039,AUBESSAGNE,93,05500,insee_communes_bocp_2025,true
05039_05500,05039,AUBESSAGNE,93,05500,insee_communes_bocp_2025,true
05039_05800,05039,AUBESSAGNE,93,05800,insee_communes_bocp_2025,true
05040_05230,05040,CHORGES,93,05230,insee_communes_bocp_2025,true
05044_05200,05044,CREVOUX,93,05200,insee_communes_bocp_2025,true
05045_05200,05045,CROTS,93,05200,insee_communes_bocp_2025,true
05046_05200,05046,EMBRUN,93,05200,insee_communes_bocp_2025,true
05047_05300,05047,EOURRES,93,05300,insee_communes_bocp_2025,true
05048_05700,05048,L EPINE,93,05700,insee_communes_bocp_2025,true
05049_05110,05049,ESPARRON,93,05110,insee_communes_bocp_2025,true
05050_05190,05050,ESPINASSES,93,05190,insee_communes_bocp_2025,true
05051_05700,05051,ETOILE ST CYRICE,93,05700,insee_communes_bocp_2025,true
05052_05600,05052,EYGLIERS,93,05600,insee_communes_bocp_2025,true
05053_05300,05053,GARDE COLOMBE,93,05300,insee_communes_bocp_2025,true
05053_05300,05053,GARDE COLOMBE,93,05300,insee_communes_bocp_2025,true
05053_05300,05053,GARDE COLOMBE,93,05300,insee_communes_bocp_2025,true
05054_05500,05054,LA FARE EN CHAMPSAUR,93,05500,insee_communes_bocp_2025,true
05055_05140,05055,LA FAURIE,93,05140,insee_communes_bocp_2025,true
05056_05260,05056,FOREST ST JULIEN,93,05260,insee_communes_bocp_2025,true
05057_05130,05057,FOUILLOUSE,93,05130,insee_communes_bocp_2025,true
05058_05310,05058,FREISSINIERES,93,05310,insee_communes_bocp_2025,true
05059_05000,05059,LA FREISSINOUSE,93,05000,insee_communes_bocp_2025,true
05060_05400,05060,FURMEYER,93,05400,insee_communes_bocp_2025,true
05061_05000,05061,GAP,93,05000,insee_communes_bocp_2025,true
05061_05000,05061,GAP,93,05000,insee_communes_bocp_2025,true
05062_05800,05062,LE GLAIZIL,93,05800,insee_communes_bocp_2025,true
05063_05320,05063,LA GRAVE,93,05320,insee_communes_bocp_2025,true
05064_05800,05064,LA CHAPELLE EN VALGAUDEMAR,93,05800,insee_communes_bocp_2025,true
05065_05600,05065,GUILLESTRE,93,05600,insee_communes_bocp_2025,true
05066_05140,05066,LA HAUTE BEAUME,93,05140,insee_communes_bocp_2025,true
05068_05130,05068,JARJAYES,93,05130,insee_communes_bocp_2025,true
05070_05300,05070,LARAGNE MONTEGLIN,93,05300,insee_communes_bocp_2025,true
05071_05110,05071,LARDIER ET VALENCA,93,05110,insee_communes_bocp_2025,true
05072_05500,05072,LAYE,93,05500,insee_communes_bocp_2025,true
05073_05300,05073,LAZER,93,05300,insee_communes_bocp_2025,true
05074_05130,05074,LETTRET,93,05130,insee_communes_bocp_2025,true
05075_05400,05075,MANTEYER,93,05400,insee_communes_bocp_2025,true
05076_05700,05076,MEREUIL,93,05700,insee_communes_bocp_2025,true
05077_05350,05077,MOLINES EN QUEYRAS,93,05350,insee_communes_bocp_2025,true
05078_05110,05078,MONETIER ALLEMONT,93,05110,insee_communes_bocp_2025,true
05079_05220,05079,LE MONETIER LES BAINS,93,05220,insee_communes_bocp_2025,true
05080_05140,05080,MONTBRAND,93,05140,insee_communes_bocp_2025,true
05081_05700,05081,MONTCLUS,93,05700,insee_communes_bocp_2025,true
05082_05600,05082,MONT DAUPHIN,93,05600,insee_communes_bocp_2025,true
